,receipe,nutricional,ingredients
31,Chilli bean soup with avocado salsa,"Each 316g serving contains (excludes serving suggestion)
KCal
181
Carbs
19.3g
Fibre
9.5g
Protein
7.6g
Fat
6.0g
Saturates
1.1g
Sugars
6.3g
Salt
0.02g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp sunflower oil
1 large onion, chopped
2 cloves garlic, crushed
2 red chillies, finely chopped
1 tsp ground cumin
½ tsp ground cinnamon
2 x 420g tins kidney beans, drained and rinsed
1 x 400g tin chopped tomatoes
1.2L vegetable stock
For the salsa:
1 x 150g avocado, peeled and finely chopped
2 tomatoes, finely chopped
4 tbsp fresh coriander, chopped
half small red onion, finely chopped
half small red chili, sliced (optional)
freshly ground black pepper"
32,Chilled pizza,"Each 216g serving contains (excludes serving suggestion)
KCal
266
Carbs
38.0g
Fibre
4.9g
Protein
8.7g
Fat
7.8g
Saturates
1.4g
Sugars
8.0g
Salt
0.79g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 red onion
1 red pepper, sliced
1 yellow pepper, sliced
1 tsp oregano
2 sundried tomatoes, finely chopped
4 small (individual) plain naan breads (65g each)
30g light cream cheese with garlic and herbs
30g 0% cottage cheese
10 fresh basil leaves, torn
8 cherry tomatoes, quartered
black pepper"
33,Chickpea and tuna salad,"Each 458g serving contains (excludes serving suggestion)
KCal
355
Carbs
22.7g
Fibre
12.4g
Protein
32.1g
Fat
12.4g
Saturates
1.7g
Sugars
7.6g
Salt
0.22g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
grated zest half a lemon
pinch black pepper
20ml extra-virgin olive oil
1 small red onion, finely chopped
180g ripe cherry tomatoes, cut into quarters
8cm cucumber, chopped
1 x 400g tin chickpeas in water, drained (drained weight 240g)
1 x 200g tin tuna in water, drained (drained weight 150g)
150g salad leaves/lettuce
2 lemon wedges"
34,Chicken tikka masala,"Each 195g serving contains (excludes serving suggestion)
KCal
150
Carbs
9.7g
Fibre
3.4g
Protein
21.0g
Fat
2.3g
Saturates
0.3g
Sugars
8.7g
Salt
0.27g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 large onion, chopped
1 red pepper, finely chopped
2 skinless chicken breasts (300g), cubed
2 tbsp tikka paste
2-3 cloves of garlic, crushed
1 x 400g tin chopped tomatoes
2 tbsp freshly chopped coriander plus 2 tsp to serve
2 tbsp 0% fat Greek yogurt"
35,Chicken nuggets,"Each 168g serving contains (excludes serving suggestion)
KCal
292
Carbs
25.9g
Fibre
1.1g
Protein
31.6g
Fat
6.5g
Saturates
1.4g
Sugars
0.8g
Salt
1.2g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp sunflower oil
1 egg, beaten with good pinch pepper
1 heaped tbsp plain flour
50g breadcrumbs (approx. 2 slices bread, crumbed)
200g boneless, skinless chicken breast"
36,Chicken in a pot,"Each 503g serving contains (excludes serving suggestion)
KCal
304
Carbs
29.6g
Fibre
8.1g
Protein
29.0g
Fat
2.0g
Saturates
0.5g
Sugars
10.1g
Salt
0.57g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 boneless, skinless chicken breasts (approx. 100g each)
12 shallots, peeled
1 clove garlic, crushed
2 sticks of celery, chopped (around 100g)
8 baby carrots, peeled (200g)
450g new potatoes
200ml dry white wine
450ml good chicken stock
sprig thyme
2 baby savoy cabbages, quartered (300g)
1 tbsp cornflour mixed with 1 tbsp water"
37,"Chicken, mushroom and tarragon pie","Each 620g serving contains (excludes serving suggestion)
KCal
435
Carbs
49.2g
Fibre
13.4g
Protein
29.0g
Fat
10.6g
Saturates
2.5g
Sugars
19.0g
Salt
0.72g
Fruit/Veg Portion
6
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp sunflower oil
1 large onion, finely chopped
2 large leeks, cleaned, and chopped
150g chestnut mushrooms, sliced
300ml chicken or vegetable stock
1 tbsp freshly chopped tarragon
pinch white pepper
1 heaped tsp cornflour mixed with 25ml skimmed milk
150g cold cooked skinless chicken, cubed (mix of brown and white meat)
300g sweet potato, peeled and very thinly sliced"
38,Chicken escalope with garlic and parsley sauce,"Each 153g serving contains (excludes serving suggestion)
KCal
176
Carbs
4.8g
Fibre
2.0g
Protein
28.4g
Fat
4.4g
Saturates
0.5g
Sugars
3.9g
Salt
0.2g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 large skinless boneless chicken breast (approx. 220g)
2 tsp rapeseed oil
4 cloves garlic, crushed
1 spring onion, finely chopped
25g fresh parsley, finely chopped
good pinch pepper
juice half lemon
1 tbsp 0% fat Greek yogurt"
39,"Chicken, corn & lentil pilaf","Each 466g serving contains (excludes serving suggestion)
KCal
408
Carbs
40.9g
Fibre
10.7g
Protein
42.6g
Fat
5.8g
Saturates
0.7g
Sugars
18.9g
Salt
0.22g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 large onion, chopped
250g chicken breast, cubed
1 red pepper, chopped
25g sultanas
1 tsp cumin
good pinch white pepper
2 cloves garlic, crushed
400g tinned green lentils, drained
160g sweetcorn, frozen
1 tbsp fresh parsley, chopped
salad, to serve"
40,Chicken chow mein,"Each 403g serving contains (excludes serving suggestion)
KCal
408
Carbs
39.1g
Fibre
6.5g
Protein
35.0g
Fat
11.0g
Saturates
1.6g
Sugars
7.3g
Salt
0.94g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp sunflower oil
1 onion, halved and thinly sliced
2 chicken breasts (300g), shredded into 4cm-long strips
1 carrot, cut into 2cm-long matchsticks
125g shiitake mushrooms
1 courgette, cut into sticks
100g fresh frozen soya (edamame) beans, defrosted
2 tsp Chinese five-spice
2 tsp reduced-salt soy sauce
2 cloves garlic, crushed
300g pack ready-cooked egg noodles"
41,Chicken bravas,"Each 50g serving contains (excludes serving suggestion)
KCal
29
Carbs
0.7g
Fibre
0.3g
Protein
5.5g
Fat
0.5g
Saturates
0.1g
Sugars
0.6g
Salt
0.0g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
4 boneless skinless chicken breasts (1 x 650g pack), cubed
6 cloves garlic, sliced
1 x 400g can chopped tomatoes
1 tbsp tomato puree
2 heaped tsp smoked paprika
1 chilli pepper, finely chopped
10 little gem lettuce leaves
cocktail sticks"
42,Chicken balti,"Each 467g serving contains (excludes serving suggestion)
KCal
334
Carbs
24.5g
Fibre
10.9g
Protein
42.2g
Fat
5.1g
Saturates
0.7g
Sugars
19.9g
Salt
0.48g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 onion, chopped
2 skinless chicken breasts, cubed
1 green pepper, chopped
2 carrots, chopped
1 stick celery
4 cloves garlic, crushed
2–3 heaped tsp curry powder
1 heaped tsp garam masala
1 green chilli, sliced into rings
1 x 400g tin chopped tomatoes
1 tbsp tomato purée
25g fresh coriander, chopped"
43,Chicken biryani,"Each 421g serving contains (excludes serving suggestion)
KCal
450
Carbs
60.3g
Fibre
8.8g
Protein
27.9g
Fat
8.8g
Saturates
1.4g
Sugars
11.1g
Salt
0.29g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp sunflower oil
1 large onion, chopped
300g skinless chicken breast, cut into chunks
1 red pepper, chopped
1 carrot, diced
8 mushrooms, sliced
1 aubergine, chopped into cubes
1 tbsp curry paste (mild, medium or hot)
1 tbsp sultanas
250g brown basmati rice, rinsed in cold water
800ml boiling water
100g frozen peas, defrosted
handful fresh coriander, chopped
1 tbsp olive oil"
44,Chicken and spinach burritos,"Each 360g serving contains (excludes serving suggestion)
KCal
483
Carbs
61.6g
Fibre
10.1g
Protein
27.8g
Fat
11.7g
Saturates
3.2g
Sugars
8.6g
Salt
0.86g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
60g brown basmati rice
2 tsp rapeseed oil
1 onion, finely chopped
1 chicken breast (approx. 125g), cut into strips
half green pepper, chopped
half red pepper, chopped
2 cloves garlic, crushed
1 tsp mild chilli powder (hot if you prefer)
1 tsp ground cumin
1 tsp oregano
150g frozen spinach, defrosted and water squeezed out
2 large plain tortillas
1 tbsp low-fat garlic and herb cream cheese
salad, to serve"
45,Chicken and soya bean salad,"Each 452g serving contains (excludes serving suggestion)
KCal
390
Carbs
11.3g
Fibre
7.6g
Protein
48.3g
Fat
17.1g
Saturates
2.8g
Sugars
7.4g
Salt
0.26g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 small chicken breast (125g)
2 lemon wedges
150ml boiling water
50g frozen soya (edamame) beans, defrosted
handful mixed salad leaves
2 spring onions, sliced
4cm cucumber sliced
1 large tomato, sliced
half punnet cress
1 tbsp 0% fat yogurt
1 tsp tahini (sesame paste)
half tsp sesame seeds
good pinch black pepper"
