Unnamed: 0,receipe,nutricional,ingredients
50,Minted aubergine with spinach and pine nuts,"Each 350g serving contains (excludes serving suggestion)
KCal
187
Carbs
17.6g
Fibre
10.0g
Protein
8.9g
Fat
6.7g
Saturates
0.9g
Sugars
7.1g
Salt
0.03g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 aubergines (550g), sliced
2 courgettes (360g), sliced lengthways
1 tbsp balsamic vinegar
10g mint, shredded
1 tbsp extra-virgin olive oil
good grind black pepper
1 tbsp pine nuts
1x 80g bag fresh rocket
1 x 400g tin cannellini beans, drained (240g drained weight)
1 small red onion (120g), very thinly sliced"
51,Mini filo pumpkin pies,"Each 57g serving contains (excludes serving suggestion)
KCal
106
Carbs
16.6g
Fibre
1.4g
Protein
4.2g
Fat
2.2g
Saturates
0.4g
Sugars
1.5g
Salt
0.28g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
8 sheets of filo pastry, (in 24x8 cm squares, 40g each)
6 sprays of oil
200g pumpkin or butternut squash
2 tsp granulated sweetener
2 eggs, beaten
half tsp nutmeg
half tsp cinnamon
half tsp ground ginger
pinch ground cloves
2 tbsp 0% fat Greek yogurt
10g pumpkin seeds
zest 1 orange"
52,Mini spiced orange pancakes,"Each 30g serving contains (excludes serving suggestion)
KCal
37
Carbs
6.2g
Fibre
0.7g
Protein
1.5g
Fat
0.6g
Saturates
0.1g
Sugars
3.5g
Salt
0.05g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 eggs, beaten
1 tbsp 0% yogurt
1 tsp almond extract
50ml skimmed milk
100g wholemeal flour
half tsp baking powder
3 tsp granulated sweetener
1 tsp mixed spice
1 tsp cinnamon
3 oranges – juice and zest 1 orange + segments
zest 2 oranges to serve
80g dried mixed fruit
1 tbsp pomegranate seeds"
53,Mini Christmas puddings,"Each 35g serving contains (excludes serving suggestion)
KCal
89
Carbs
14.3g
Fibre
1.2g
Protein
1.7g
Fat
2.5g
Saturates
0.3g
Sugars
12.0g
Salt
0.02g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
350g mixed vine fruits
3 dried figs, chopped
1 tsp mixed spice
1 tsp ground cinnamon
1 tsp ground ginger
pinch ground cloves
250ml boiling water
1 large banana (150g)
1 unpeeled apple, grated
75g fine oatmeal
60g ground almonds
25g sunflower seeds
grated zest 1 orange
2 tsp sunflower oil, for oiling"
54,Mini blueberry pancakes,"Each 72g serving contains (excludes serving suggestion)
KCal
102
Carbs
16.3g
Fibre
2.3g
Protein
4.3g
Fat
1.7g
Saturates
0.3g
Sugars
3.1g
Salt
0.17g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
200g wholemeal flour
1 tsp baking powder
1 medium egg, beaten
250ml skimmed milk
1 tsp vanilla extract
200g fresh blueberries
2 tsp sunflower oil
1 tsp caster sugar (optional)"
55,Mini summer puddings,"Each 185g serving contains (excludes serving suggestion)
KCal
190
Carbs
35.3g
Fibre
4.9g
Protein
6.9g
Fat
1.3g
Saturates
0.0g
Sugars
8.9g
Salt
0.6g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
8–10 slices thin-cut white bread, crusts removed (240g)
500g bag frozen mixed summer fruits
artificial sweetener, to taste"
56,Mince pies,"Each 55g serving contains (excludes serving suggestion)
KCal
161
Carbs
16.9g
Fibre
2.1g
Protein
2.7g
Fat
8.4g
Saturates
1.2g
Sugars
7.4g
Salt
0.03g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the pastry:
150g wholemeal flour
75ml rapeseed oil
50ml cool water
For the filling:
150g vegetarian mincemeat
75g apple, grated and unpeeled
50g carrot, grated
1 tbsp sunflower seeds
1 heaped tsp mixed spice
For the toppings:
half apple, finely chopped
half pear, finely chopped
dash lemon juice
1 fresh fig, cut into small wedges
3 walnut halves
3 glacé cherries, halved
2 tsp toasted, flaked almonds
grated orange zest"
57,Minced beef and vegetable filo pie,"Each 275g serving contains (excludes serving suggestion)
KCal
316
Carbs
39.6g
Fibre
6.4g
Protein
20.7g
Fat
6.9g
Saturates
1.8g
Sugars
8.9g
Salt
0.62g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 onion, diced
100g mushrooms, chopped
250g lean minced beef
1 carrot, diced small
150g sweet potato, peeled and diced into small pieces
2 tsp plain flour
1 tsp tomato puree
good pinch white pepper
pinch dried thyme
1 reduced-salt beef stock cube, dissolved in 300ml water
75g defrosted frozen peas
2 sprays rapeseed oil
150g filo pastry (approx. 3 sheets)"
58,Microwave mug: Sweetcorn and Cheddar crustless quiche,"Each 212g serving contains (excludes serving suggestion)
KCal
223
Carbs
12.6g
Protein
19.4g
Fat
10.1g
Saturates
3.2g
Sugars
5.9g
Salt
0.5g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 egg, beaten
2 tbsp 0% fat Greek-style yogurt
1 heaped tsp cornflour
15g reduced-fat Cheddar, finely grated
2 spring onions, finely chopped
40g frozen sweetcorn, defrosted
good grind black pepper
half tsp rapeseed oil"
59,Microwave mug: Sesame salmon and broccoli,"Each 123g serving contains (excludes serving suggestion)
KCal
197
Carbs
1.9g
Fibre
1.8g
Protein
17.0g
Fat
13.1g
Saturates
2.3g
Sugars
1.4g
Salt
0.09g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 skinless and boneless salmon steak, cubed (150g)
1 tsp toasted sesame oil
half tsp Chinese five-spice powder
70g broccoli, broken into small florets
2 spring onions, finely chopped"
60,"Microwave mug: Chocolate, banana and almond cups","Each 75g serving contains (excludes serving suggestion)
KCal
83
Carbs
9.3g
Fibre
1.3g
Protein
5.1g
Fat
2.5g
Saturates
1.0g
Sugars
7.0g
Salt
0.18g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 large banana (150g peeled weight)
1 egg, beaten
4 heaped tsp good-quality cocoa powder
6 tsp artificial sweetener
60g 0% fat Greek-style yogurt
1 tsp almond extract
third tsp gluten-free baking powder"
61,Microwave mug: Cheesy chive and pea muffin,"Each 164g serving contains (excludes serving suggestion)
KCal
266
Carbs
16.3g
Fibre
3.9g
Protein
19.9g
Fat
12.6g
Saturates
5.0g
Sugars
3.0g
Salt
1.62g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 egg, beaten
1 heaped tbsp natural low-fat yogurt
good pinch white pepper
10g half-fat Cheddar, grated
5g Parmesan, finely grated
1 spring onion, finely chopped
40g frozen peas, defrosted
1 heaped tbsp wholemeal flour
third tsp baking powder or bicarbonate of soda
1 heaped tsp chopped chives (save a few to garnish)
half tsp sunflower oil
pinch paprika"
62,Microwave mug: Apple and cinnamon fruity porridge,"Each 263g serving contains (excludes serving suggestion)
KCal
212
Carbs
36.2g
Fibre
5.5g
Protein
5.6g
Fat
3.8g
Saturates
0.9g
Sugars
12.4g
Salt
0.04g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
35g porridge oats
1 tsp artificial sweetener
1 tsp cinnamon, plus pinch to top
1 small apple, chopped small
25ml semi-skimmed milk"
63,Mexican tuna pate,"Each 206g serving contains (excludes serving suggestion)
KCal
116
Carbs
5.8g
Fibre
3.0g
Protein
19.4g
Fat
1.0g
Saturates
0.1g
Sugars
5.9g
Salt
0.35g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
160g tin tuna in spring water, drained
1 tsp mild chilli powder (hot, if you prefer)
1 tsp cumin
1 tsp dried oregano
1 tbsp tomato puree
3 spring onions, finely chopped
half red pepper, finely chopped
1 large fresh tomato, finely chopped
1 tbsp finely chopped fresh coriander
juice 1 lime
2 tbsp 0% Greek yogurt"
64,Mediterranean pasta salad,"Each 293g serving contains (excludes serving suggestion)
KCal
422
Carbs
58.7g
Fibre
5.3g
Protein
13.4g
Fat
13.7g
Saturates
3.1g
Sugars
5.6g
Salt
0.68g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
225g dried pasta shapes
10 cherry tomatoes, quartered
10 black olives, sliced
quarter cucumber, chopped
half red onion, thinly sliced
40g Feta cheese, crumbled
15g pine nuts, toasted
1 tbsp olive oil
1 tbsp balsamic vinegar
handful basil leaves"
65,Meatballs,"Each 176g serving contains (excludes serving suggestion)
KCal
142
Carbs
7.4g
Fibre
1.4g
Protein
19.2g
Fat
3.2g
Saturates
0.8g
Sugars
3.2g
Salt
0.31g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 slice wholemeal bread, crusts removed
2 tbsp semi-skimmed milk
450g lean turkey mince
2 cloves garlic, crushed
1 egg yolk, beaten
1 small onion, finely chopped
3 tbsp fresh mixed herbs, chopped
1 tbsp olive oil
freshly ground black pepper
For the sauce:
150ml beef stock
150ml water
1 small onion, chopped
1 carrot, peeled and chopped
2 tomatoes, chopped
2 tbsp dry sherry
1 tbsp cornflour"
66,Marinated tofu kebabs,"Each 156g serving contains (excludes serving suggestion)
KCal
93
Carbs
5.9g
Fibre
2.9g
Protein
5.7g
Fat
4.5g
Saturates
0.7g
Sugars
5.0g
Salt
0.01g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp olive oil
1 tbsp balsamic vinegar
1 clove garlic, crushed
1 tsp fresh thyme
200g pack tofu (firm), drained and cut into 12 cubes
1 red pepper (150g), cut into chunks
1 yellow pepper (150g), cut into chunks
2 courgettes (250g), cut into chunks
1 red onion (150g), cut into 8 wedges"
67,Marinated monkfish,"Each 325g serving contains (excludes serving suggestion)
KCal
342
Carbs
52.1g
Fibre
1.7g
Protein
29.7g
Fat
1.3g
Saturates
0.3g
Sugars
6.7g
Salt
1.5g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 pieces fresh monkfish, skinned (600g)
zest and juice 1 lime
2 tbsp reduced-salt soy sauce
pinch chilli flakes
225g (dry weight) basmati rice
1 vegetable stock cube
1 carrot, grated
30g sultanas
5 fresh basil leaves, chopped
freshly ground black pepper
fresh coriander, to garnish"
68,Marinated chicken skewers with couscous,"Each 489g serving contains (excludes serving suggestion)
KCal
471
Carbs
62.7g
Fibre
5.9g
Protein
42.0g
Fat
4.5g
Saturates
0.8g
Sugars
7.3g
Salt
0.47g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 large chicken breast (200g), cut into strips
4 tbsp buttermilk
1 tsp pesto
1 clove garlic, crushed
1 red pepper, cut into chunks
2 large mushrooms, sliced thickly
150g couscous
200ml boiling chicken stock
grated zest and juice 1 lemon
80g bag rocket leaves
2 spring onions, sliced"
69,Marinated mackerel salad,"Each 100g serving contains (excludes serving suggestion)
KCal
186
Carbs
8.6g
Fibre
1.8g
Protein
10.4g
Fat
11.8g
Saturates
2.2g
Sugars
1.3g
Salt
0.89g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 smoked mackerel fillets (70g each)
juice 1 lemon
2 tsp caster sugar
10 juniper berries, roughly crushed
For the salad:
2 wholemeal pitta breads
120g rocket
200g cherry tomatoes, halved
2 tbsp extra-virgin olive oil
lemon wedges, to serve"
70,Mackerel salsa wrap,"Each 287g serving contains (excludes serving suggestion)
KCal
467
Carbs
38.1g
Fibre
5.4g
Protein
24.4g
Fat
22.9g
Saturates
5.5g
Sugars
7.7g
Salt
0.1g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 small red onion, finely chopped
juice half lime
1 tbsp extra-virgin olive oil
half level tsp cumin
pinch chilli powder
3-4 plums, stoned and chopped
8-10 fresh ripe cherry tomatoes, chopped
1 tbsp chopped fresh coriander
4 mackerel fillets (each 90g)
4 rotis or wholemeal tortillas
100g mixed salad leaves"
71,Macaroni cheese,"Each 461g serving contains (excludes serving suggestion)
KCal
444
Carbs
61.0g
Fibre
14.8g
Protein
24.5g
Fat
8.0g
Saturates
2.9g
Sugars
20.0g
Salt
0.73g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
2 medium onions, finely chopped
1 leek, sliced into 0.5cm-thick rings
1 tbsp wholemeal flour
1 tsp Dijon mustard
200ml skimmed milk
50g half-fat Cheddar, grated
100g frozen peas, defrosted
100g wholewheat macaroni, cooked to pack instructions and drained"
72,Leek and potato salad,"Each 182g serving contains (excludes serving suggestion)
KCal
107
Carbs
18.0g
Fibre
3.3g
Protein
6.1g
Fat
0.4g
Saturates
0.1g
Sugars
3.6g
Salt
0.11g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
600g baby new potatoes
1 large leek (250g), cleaned and finely sliced
200g 0% fat Greek yogurt
10g chives (and a sprinkle to garnish)
25g parsley (and a sprinkle to garnish)
1 heaped tsp Dijon mustard
good pinch white pepper"
73,Lower-fat cauliflower and broccoli cheese,"Each 209g serving contains (excludes serving suggestion)
KCal
151
Carbs
12.7g
Fibre
4.2g
Protein
12.1g
Fat
4.8g
Saturates
2.0g
Sugars
7.9g
Salt
0.47g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 head broccoli, broken into florets (300g)
1 medium cauliflower, broken into florets (500g)
2 tsp rapeseed oil
1 onion, finely chopped
1 heaped tbsp plain flour
2 heaped tsp Dijon mustard
400ml skimmed milk
25g half-fat Cheddar + 50g grated, to top
1 tbsp grated Parmesan"
74,"Liver and onions with neeps, tatties and beans","Each 564g serving contains (excludes serving suggestion)
KCal
390
Carbs
40.4g
Fibre
11.6g
Protein
28.4g
Fat
10.1g
Saturates
2.2g
Sugars
19.7g
Salt
0.43g
Fruit/Veg Portion
5
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
4 onions, chopped
2 cloves garlic, crushed
10g plain flour + 2 tsp extra
good pinch black pepper
1 pack lamb's liver (450g)
1 low-salt vegetable or lamb stock cube, dissolved in 400ml water
300g swede, chopped
300g sweet potato, chopped
100g parsnip, chopped
300g pack green beans"
75,Lemon and herb chicken with chickpeas,"Each 326g serving contains (excludes serving suggestion)
KCal
390
Carbs
22.1g
Fibre
8.6g
Protein
40.8g
Fat
13.5g
Saturates
5.1g
Sugars
3.1g
Salt
0.22g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 boneless, skinless chicken breasts, approx 125g each
grated rind and juice 1 lemon
1 clove garlic, crushed
1 tsp olive oil
1 tsp black mustard seeds
1 tsp cumin seeds
4 spring onions, chopped
400g chickpeas, drained and rinsed
3 tbsps mixed fresh herbs, chopped
pinch turmeric
2 tbsps half-fat crème fraiche
freshly ground black pepper"
76,Light and fluffy watercress soup,"Each 371g serving contains (excludes serving suggestion)
KCal
149
Carbs
21.9g
Fibre
3.9g
Protein
7.8g
Fat
2.4g
Saturates
0.8g
Sugars
9.7g
Salt
0.23g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
1 large onion, chopped
250g potatoes, peeled and finely diced
1.2L vegetable stock
300g watercress
300ml low-fat natural yogurt, reserve 2 tbsp to serve
freshly ground black pepper"
77,Lamb provençal,"Each 511g serving contains (excludes serving suggestion)
KCal
253
Carbs
14.3g
Fibre
5.7g
Protein
27.0g
Fat
8.5g
Saturates
2.4g
Sugars
11.7g
Salt
0.01g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
2 onions, chopped
1 red, 1 yellow and 1 green pepper, chopped into large chunks
4–6 cloves garlic, crushed
2–3 courgettes
1 sprig rosemary
1 sprig thyme
1 tsp dried oregano
20g chopped fresh parsley
1 x 400g tin chopped tomatoes
400g lean lamb steaks (100g each)"
78,Lamb tagine,"Each 450g serving contains (excludes serving suggestion)
KCal
304
Carbs
28.5g
Fibre
9.3g
Protein
25.4g
Fat
11.0g
Saturates
3.5g
Sugars
16.7g
Salt
1.3g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
dash olive oil
2 onions, cut into wedges
350g cubed lean lamb
2 carrots, chopped
1 yellow pepper, chopped
1 x 400g tin chopped tomatoes
1 heaped tsp dried mint
1 heaped tsp ground cinnamon
1 heaped tsp cumin
quarter tsp chilli flakes
pinch salt
50g dried apricots, halved
1 x 400g tin chickpeas, drained"
79,Lamb dhansak,"Each 421g serving contains (excludes serving suggestion)
KCal
417
Carbs
46.3g
Fibre
10.6g
Protein
27.7g
Fat
11.1g
Saturates
3.4g
Sugars
16.6g
Salt
0.59g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
1 onion, chopped
350g diced lambs leg
2 carrots, chopped
4 cloves garlic, crushed
3cm fresh ginger root, grated
100g red lentils
1 low-salt lamb or chicken stock cube in 400ml boiling water
1 x 400g tin chopped tomatoes
1 tbsp mild curry paste
1-2 sweet potatoes, (400g) peeled and chopped
1 aubergine, chopped
20g fresh coriander, roughly chopped"
80,Lamb fillet with spiced lentil pilaf,"Each 324g serving contains (excludes serving suggestion)
KCal
342
Carbs
24.4g
Fibre
10.7g
Protein
23.1g
Fat
14.5g
Saturates
4.8g
Sugars
6.0g
Salt
0.29g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
250g lamb neck fillet
1 tsp dried oregano
good grind black pepper
25g fresh basil, roughly chopped
50g fresh parsley, roughly chopped
2 cloves garlic, crushed
juice and grated zest half lemon
1 tbsp extra-virgin olive oil
1 tbsp water
2 tsp rapeseed oil
1 red pepper, diced
1 yellow pepper, diced
1 courgette, diced
1 bunch spring onions, chopped
1 400g tin green lentils, drained and rinsed
1 400g tin flageolet or cannellini beans, drained and rinsed
1 tsp Dijon mustard
1 low-salt vegetable stock cube in 150ml boiling water"
81,Lamb and sweet potato hotpot,"Each 289g serving contains (excludes serving suggestion)
KCal
288
Carbs
28.4g
Fibre
6.8g
Protein
21.3g
Fat
8.4g
Saturates
3.1g
Sugars
10.3g
Salt
0.3g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp rapeseed oil
500g lean lamb leg steaks, cut into chunks
3 medium onions, chopped
2 leeks, chopped
3 medium carrots, chopped
300g sweet potatoes, peeled and chopped into large cubes, plus 150g sweet potatoes cut into thin slices (total weight 400g)
1 tbsp plain flour
1 low-salt lamb stock cube dissolved in 500ml boiling water
50g split peas
bay leaf
good pinch white pepper"
82,Lamb biryani,"Each 394g serving contains (excludes serving suggestion)
KCal
538
Carbs
69.3g
Fibre
3.9g
Protein
34.1g
Fat
12.9g
Saturates
4.9g
Sugars
7.9g
Salt
0.5g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp oil
4 onions, sliced
750g boneless leg of lamb, cubed
4 cloves garlic, crushed
1.5 tsp fresh ginger, peeled and grated
1 stick cinnamon
3 cardamom pods
8 cloves
8 black peppercorns
1 tbsp chilli powder
1 tbsp ground coriander
1 x 150g tub low-fat natural yogurt
half tsp saffron, soaked in 3 tbsp boiling water
450g basmati rice, cooked according to pack instructions"
83,Kedgeree,"Each 114g serving contains (excludes serving suggestion)
KCal
555
Carbs
62.7g
Fibre
3.2g
Protein
30.6g
Fat
19.5g
Saturates
4.0g
Sugars
2.8g
Salt
0.4g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300g basmati rice
2 heaped tsp mild-medium curry paste (or powder)
1 heaped tsp mild (dulce) smoked paprika
4 eggs
2 tsp sunflower oil
1 leek, finely chopped
1 red pepper, finely chopped
300g skinless, boneless salmon, roughly cut into 2–3 cm cubes
juice 1 lemon
1 tbsp low-fat yogurt
handful of finely chopped coriander, plus sprig to serve
1 lemon, cut into wedges"
84,Keralan-style vegetable curry,"Each 583g serving contains (excludes serving suggestion)
KCal
237
Carbs
32.4g
Fibre
11.8g
Protein
11.5g
Fat
4.2g
Saturates
0.4g
Sugars
17.2g
Salt
0.26g
Fruit/Veg Portion
6
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
75g split peas (dried)
500ml boiling water
2 tsp rapeseed oil
2 onions, chopped (220g)
2 cloves garlic, crushed
half butternut squash, peeled, deseeded and cubed (400g)
1 tbsp curry paste
1 x 400g can chopped tomatoes
200ml boiling water
1 aubergine, diced (250g)
1 pack okra, stalks trimmed (175g)
1 bag (200g) fresh spinach
25g fresh coriander, chopped
2 tbsp 0% yogurt
80g pomegranate seeds
80g cucumber, diced
2 spring onions, chopped
1 small red chilli, chopped"
85,Kale and green lentil soup,"Each 362g serving contains (excludes serving suggestion)
KCal
154
Carbs
18.7g
Fibre
8.4g
Protein
8.4g
Fat
3.2g
Saturates
0.4g
Sugars
7.9g
Salt
0.13g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp sunflower oil
2 onions, finely chopped
1 large carrot, diced
1 stick celery, chopped
1-2 cloves garlic, crushed
1 tsp ground cumin
1 tbsp tomato purée
1 x 400g can green lentils in water (add the water, too)
200g Cavolo Nero (black kale) or curly kale, chopped (thick stalks removed)
500ml vegetable stock
black pepper, to taste"
86,Jerk chicken,"Each 219g serving contains (excludes serving suggestion)
KCal
272
Carbs
6.9g
Fibre
1.3g
Protein
30.7g
Fat
13.2g
Saturates
3.8g
Sugars
5.8g
Salt
0.67g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 spring onions, chopped
2 Scotch Bonnet chillies, finely chopped
1 tsp freshly ground black pepper
half tsp cinnamon
half tsp ground nutmeg
1 tsp ground allspice
2 tsp dark brown sugar
2 cloves garlic, crushed
3 cm fresh ginger root, grated
1 tbsp fresh thyme leaves or 1 tsp dried thyme
1 tbsp reduced-salt soy sauce
grated zest and juice 1 lime
juice 1 orange
1 tbsp wine vinegar
4 chicken drumsticks and 4 chicken thighs (1 kilo), excess skin trimmed"
87,Jollof rice and chicken,"Each 393g serving contains (excludes serving suggestion)
KCal
377
Carbs
50.3g
Fibre
7.1g
Protein
29.7g
Fat
5.1g
Saturates
0.8g
Sugars
11.9g
Salt
0.28g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
1 large onion (170g), chopped
350g skinless, boneless chicken breast, cut into chunks
1 large red pepper (170g), chopped
1 large yellow pepper (170g), chopped
2 garlic cloves, crushed
3cm fresh ginger root, finely chopped
half -1 Scotch Bonnet chilli, chopped
2 tbsp tomato purée
200g brown basmati rice, rinsed under cold water.
1 reduced salt chicken stock cube dissolved in 450 ml water
1 x 400g can chopped tomatoes
100g okra, chopped into 2cm pieces
2 tbsp roughly chopped coriander"
88,Jelly treats,"Each 16g serving contains (excludes serving suggestion)
KCal
6
Carbs
0.7g
Fibre
0.0g
Protein
0.7g
Fat
0.1g
Saturates
0.1g
Sugars
0.6g
Salt
0.02g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
125ml sugar-free lemonade
1 pack sugar-free orange jelly crystals
1 x 6.5g sachet vegetarian gelatine
1 x 175g low-fat yogurt"
89,Jambalaya,"Each 510g serving contains (excludes serving suggestion)
KCal
475
Carbs
58.0g
Fibre
9.4g
Protein
26.0g
Fat
13.4g
Saturates
3.2g
Sugars
19.3g
Salt
1.34g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tsp olive oil
15g chorizo sausage, thinly sliced
half red pepper, chopped
1 onion, chopped
1 boneless, skinless chicken thigh
2 large tomatoes, chopped
Tabasco, to taste
125g microwaveable vegetable rice"
90,Italian-style braised lamb steaks,"Each 301g serving contains (excludes serving suggestion)
KCal
312
Carbs
20.0g
Fibre
4.8g
Protein
28.8g
Fat
11.9g
Saturates
4.6g
Sugars
13.7g
Salt
0.63g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapseseed oil
4 red onions, quartered
4 lamb steaks (approx. 500g) fat trimmed
1 tbsp flour
4 cloves garlic, sliced
large sprig rosemary, torn into pieces, plus a little to serve or 1 level tsp dried rosemary
1 heaped tsp oregano
1 lamb stock cube dissolved in 500ml water
1 x 400g can chopped tomatoes
1 tbsp balsamic vinegar
good pinch pepper"
91,Irish stew and colcannon,"Each 483g serving contains (excludes serving suggestion)
KCal
577
Carbs
75.1g
Fibre
14.0g
Protein
30.6g
Fat
14.1g
Saturates
5.2g
Sugars
20.8g
Salt
1.75g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the stew:
1 tsp olive oil
1 large onion, peeled and cut into large chunks
450g lean lamb, cubed
650g potatoes, peeled and cut into large chunks
2 carrots, peeled and cut into large chunks
1 stock cube
dash Worcestershire sauce
1 tbsp gravy powder
good pinch mixed dried herbs
For the colcannon:
650g sweet potatoes, peeled and chopped
2 tbsp semi-skimmed milk
1 tbsp reduced-fat polyunsaturated margarine
freshly ground black pepper
half savoy cabbage, finely sliced
1 bunch spring onions, roughly chopped"
92,Iced tea,"Each 93g serving contains (excludes serving suggestion)
KCal
0
Carbs
0.1g
Protein
0.0g
Fat
0.0g
Saturates
0.0g
Sugars
0.0g
Salt
0.0g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
3 teabags (or loose leaf tea)
750ml boiling water
1-4 sweetener tablets (as desired)
1 lemon, thinly sliced
sprigs of mint
ice cubes"
93,Hot souffle apples with creme fraiche,"Each 142g serving contains (excludes serving suggestion)
KCal
193
Carbs
25.6g
Fibre
1.4g
Protein
5.0g
Fat
7.6g
Saturates
3.7g
Sugars
25.4g
Salt
0.14g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 eating apples
dash lemon juice
1 tsp butter
pinch ground nutmeg
25g caster sugar
1 medium egg, separated
To serve:
2 tbsp reduced-fat crème fraîche
pinch ground nutmeg"
94,Homemade vegetable crisps,"Each 74g serving contains (excludes serving suggestion)
KCal
48
Carbs
8.4g
Fibre
2.5g
Protein
1.0g
Fat
0.6g
Saturates
0.1g
Sugars
4.2g
Salt
0.07g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
120g sweet potato
120g carrot
100g parsnip
100g beetroot
15 sprays of spray oil"
95,Herby mackerel,"Each 321g serving contains (includes serving suggestion)
KCal
280
Carbs
9.8g
Fibre
3.5g
Protein
19.6g
Fat
17.2g
Saturates
3.6g
Sugars
5.3g
Salt
0.5g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 small mackerel (about 90g each)
1 slice soya and linseed bread (any wholemeal bread is fine)
1 tbsp chopped parsley
1 tbsp chopped fresh coriander
finely grated zest 1 lemon and 1 orange
half tsp ground cumin
half tsp ground coriander
pinch chilli flakes
half tsp olive oil
100ml fish, vegetable or chicken stock
For the tomato salad:
6–8 medium-sized tomatoes, sliced (500g)
half medium red onion, very thinly sliced
1 tbsp each chopped parsley and coriander
juice 1 lemon or half orange
freshly ground black pepper
120g rocket"
