Unnamed: 0,receipe,nutricional,ingredients
30,Salad nicoise,"['Each 251g serving contains (excludes serving suggestion)', 'KCal', '194', 'Carbs', '15.6g', 'Fibre', '3.2g', 'Protein', '18.4g', 'Fat', '5.8g', 'Saturates', '1.2g', 'Sugars', '3.3g', 'Salt', '0.74g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
250g new potatoes, cut into large chunks
100g fine beans, cooked
1 egg, quartered
2 tomatoes, cut into wedges
9 pitted black olives
3 anchovy fillets, halved lengthways
grated rind and juice 1 lemon
2 tsp olive oil
150g piece fresh tuna
freshly ground black pepper"
31,Chunky chips,"['Each 203g serving contains (excludes serving suggestion)', 'KCal', '199', 'Carbs', '37.3g', 'Fibre', '4.0g', 'Protein', '3.9g', 'Fat', '2.9g', 'Saturates', '0.5g', 'Sugars', '1.7g', 'Salt', '0.01g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
900g potatoes, peeled and cut in to chunky chips
1 tbsp olive oil"
32,Tomato ketchup,"['Each 55g serving contains (excludes serving suggestion)', 'KCal', '19', 'Carbs', '3.3g', 'Fibre', '0.8g', 'Protein', '0.9g', 'Fat', '0.1g', 'Saturates', '0.0g', 'Sugars', '2.9g', 'Salt', '0.01g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
1/2 small onion, peeled and very finely chopped
1 garlic clove, peeled and finely chopped
200g chopped tinned tomatoes
2 tsp tomato puree
2 tbsp cider vinegar
half tsp sweetener"
33,Rekha's Shirkhand,"['Each 93g serving contains (excludes serving suggestion)', 'KCal', '87', 'Carbs', '3.7g', 'Fibre', '0.0g', 'Protein', '10.3g', 'Fat', '3.5g', 'Saturates', '0.3g', 'Sugars', '3.5g', 'Salt', '0.08g', 'Fruit/Veg Portion', '0', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
500g 0% fat naturally set yogurt
2 tsp sugar-free sweetener
5 pistachio nuts
5 almonds
5 cardamoms, ground
10 saffron strands
1 tbsp skimmed milk"
34,Tuna balls with tomato sauce,"['Each 380g serving contains (excludes serving suggestion)', 'KCal', '394', 'Carbs', '21.0g', 'Protein', '30.0g', 'Fat', '20.8g', 'Saturates', '3.0g', 'Sugars', '4.7g', 'Salt', '1.7g', 'Fruit/Veg Portion', '1', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
large handful (approx 25g) mixed fresh herbs (eg parsley, mint, oregano, thyme and basil)
1 x 160g tin of tuna in sunflower oil, drain the oil and reserve
25g pine nuts
45g brown breadcrumbs
zest of a lemon
pinch salt and pepper
1 egg, beaten
200g passata
2 wedges of lemon, to serve"
35,Sag Aloo,"['Each 512g serving contains (excludes serving suggestion)', 'KCal', '245', 'Carbs', '3.7g', 'Fibre', '10.6g', 'Protein', '8.0g', 'Fat', '4.2g', 'Saturates', '0.4g', 'Sugars', '9.8g', 'Salt', '0.64g', 'Fruit/Veg Portion', '3', 'Nutritional information explained', 'What makes a healthy, balanced diet?']","Ingredients
2 tsp rapeseed oil
1 onion, finely chopped
1 green pepper, finely chopped
2 large carrots, roughly chopped
1cm piece ginger, peeled and finely chopped
2 large potatoes (approx 600g), roughly chopped
1–2 fresh green chilies, deseeded and finely chopped (½ chilli = mild, 1 = medium, 2 = warm)
bunch fresh coriander, finely chopped
500g fresh spinach
500ml low-salt vegetable stock
1 tsp cumin
1 tsp ground coriander
1 tsp turmeric
1 tsp ground fenugreek
1 tsp smoked paprika
1 tsp garam masala
or, use 1 tbsp Tandoori curry powder"
0,Potato pancakes with mushroom sauce,"Each 436g serving contains (excludes serving suggestion)
KCal
330
Carbs
44.2g
Protein
12.3g
Fat
9.2g
Saturates
1.8g
Sugars
5.2g
Salt
0.9g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
6 medium-sized potatoes, scrubbed
2 eggs
½ tsp salt
your choice of herbs and spices, to taste (we used 1 tbsp freshly chopped parsley plus a good pinch black pepper)
2 tsp oil
2 large onions, chopped
2 cloves garlic, crushed
250g mushrooms, sliced (any type)"
1,Fruity oatbake,"Each 40g serving contains (excludes serving suggestion)
KCal
139
Carbs
18.5g
Protein
4.0g
Fat
5.0g
Saturates
1.2g
Sugars
6.0g
Salt
0.1g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g lower-fat spread
125g porridge oats
120g wholemeal flour
75g pitted prunes, chopped
65g sultanas
1 tsp mixed spice
1 tsp ginger
2 small eggs, beaten
1 -2 tsp granulated sweetener"
2,Courgette enchiladas,"Each 462g serving contains (excludes serving suggestion)
KCal
300
Carbs
13.8g
Protein
30.4g
Fat
12.4g
Saturates
3.7g
Sugars
6.8g
Salt
1.2g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 medium courgettes
1 tsp oil
75g spring onions, chopped
3 cloves garlic, crushed
75g green pepper, chopped
pinch salt and pepper
1 tsp cumin
½ tsp dried oregano
½ tsp chilli powder
1 tbsp tomato paste
2 cooked and shredded chicken breasts (approx. 250g)
1 x 395g jar enchilada sauce
75g reduced-fat Cheddar, grated"
3,Chicken noodles,"Each 360g serving contains (excludes serving suggestion)
KCal
430
Carbs
62.0g
Protein
27.0g
Fat
6.6g
Saturates
1.7g
Sugars
3.8g
Salt
1.4g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
300g dried egg noodles
1 reduced-salt chicken stock cube, dissolved in 500ml water
6 tsp reduced-salt dark soy sauce
100g frozen peas
150g sweetcorn, drained weight
200g cooked chicken, shredded
2 tsp cornflour"
4,"Avocado, banana and cashew toast","Each 110g serving contains (excludes serving suggestion)
KCal
316
Carbs
25.0g
Protein
9.0g
Fat
18.0g
Saturates
3.8g
Sugars
7.4g
Salt
0.4g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
75g cashew nuts
4 slices wholemeal bread
1 large avocado
1 large banana"
5,Baked sea bass and roasted red peppers,"Each 503g serving contains (excludes serving suggestion)
KCal
445
Carbs
37.7g
Fibre
8.0g
Protein
23.6g
Fat
20.5g
Saturates
3.7g
Sugars
9.9g
Salt
0.19g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
600g peeled potatoes, thinly sliced (approx. 1cm)
4 plum tomatoes, skinned and quartered
2 red and 2 orange peppers, deseeded and cut into chunks
8 cloves garlic, each sliced into three
2 red chillies, thinly sliced
4 small sprigs of oregano (or 1 tsp dried)
4tbsp olive oil
4 x90g sea bass, cleaned and trimmed
50g rocket
pinch of black pepper"
6,Yogurt and vanilla panna cotta with summer fruits,"Each 196g serving contains (excludes serving suggestion)
KCal
137
Carbs
17.8g
Fibre
2.6g
Protein
7.0g
Fat
3.7g
Saturates
2.2g
Sugars
17.8g
Salt
0.22g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 gelatine leaves
30g caster sugar
4 tbsp milk
600g natural yogurt
2 tsp vanilla extract
To serve:
200g strawberries, hulled
2 squeezes lemon juice
200g raspberries
100g blueberries"
